Episode,Score,Record
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,2,2
14,0,2
15,0,2
16,0,2
17,3,3
18,0,3
19,1,3
20,0,3
21,1,3
22,2,3
23,1,3
24,0,3
25,0,3
26,0,3
27,0,3
28,1,3
29,0,3
30,2,3
31,0,3
32,1,3
33,0,3
34,0,3
35,0,3
36,0,3
37,1,3
38,0,3
39,1,3
40,1,3
41,5,5
42,5,5
43,5,5
44,6,6
45,6,6
46,9,9
47,5,9
48,3,9
49,3,9
50,5,9
51,2,9
52,16,16
53,5,16
54,17,17
55,10,17
56,5,17
57,30,30
58,4,30
59,1,30
60,19,30
61,7,30
62,0,30
63,25,30
64,20,30
65,27,30
66,3,30
67,52,52
68,29,52
69,49,52
70,33,52
71,17,52
72,6,52
73,33,52
74,37,52
75,7,52
76,23,52
77,4,52
78,52,52
79,54,54
80,20,54
81,21,54
82,22,54
83,7,54
84,26,54
85,34,54
86,27,54
87,31,54
88,12,54
89,13,54
90,43,54
91,16,54
92,42,54
93,19,54
94,3,54
95,22,54
96,18,54
97,28,54
98,24,54
99,13,54
100,1,54
